Author,Genre,Name,Year,Price,Reviews,User Rating
American Psychological Association,Non Fiction,"Publication Manual of the American Psychological Association, 6th Edition",2012,46,8580,4.5
American Psychological Association,Non Fiction,"Publication Manual of the American Psychological Association, 6th Edition",2013,46,8580,4.5
American Psychological Association,Non Fiction,"Publication Manual of the American Psychological Association, 6th Edition",2014,46,8580,4.5
American Psychological Association,Non Fiction,"Publication Manual of the American Psychological Association, 6th Edition",2015,46,8580,4.5
American Psychological Association,Non Fiction,"Publication Manual of the American Psychological Association, 6th Edition",2016,46,8580,4.5
American Psychological Association,Non Fiction,"Publication Manual of the American Psychological Association, 6th Edition",2017,46,8580,4.5
American Psychological Association,Non Fiction,"Publication Manual of the American Psychological Association, 6th Edition",2018,46,8580,4.5
Golden Books,Fiction,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),2017,4,4757,4.8
Susan Cain,Non Fiction,Quiet: The Power of Introverts in a World That Can't Stop Talking,2012,20,10009,4.6
Susan Cain,Non Fiction,Quiet: The Power of Introverts in a World That Can't Stop Talking,2013,7,10009,4.6
David Platt,Non Fiction,Radical: Taking Back Your Faith from the American Dream,2010,9,1985,4.7
David Platt,Non Fiction,Radical: Taking Back Your Faith from the American Dream,2011,9,1985,4.7
Ernest Cline,Fiction,Ready Player One: A Novel,2017,12,22536,4.6
Ernest Cline,Fiction,Ready Player One: A Novel,2018,12,22536,4.6
Rush Limbaugh,Fiction,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),2013,12,7150,4.9
Rush Limbaugh,Fiction,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),2014,12,3836,4.9
Samin Nosrat,Non Fiction,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",2018,20,7802,4.8
Samin Nosrat,Non Fiction,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",2019,20,7802,4.8
Tatiana de Rosnay,Fiction,Sarah's Key,2010,10,3619,4.6
School Zone,Non Fiction,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Readingâ€¦",2018,6,23047,4.8
School Zone,Non Fiction,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Readingâ€¦",2019,6,23047,4.8
Johanna Basford,Non Fiction,"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",2015,9,9366,4.7
Justin Halpern,Non Fiction,Sh*t My Dad Says,2010,11,1265,4.7
Tucker Carlson,Non Fiction,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,2018,16,3923,4.8
Ian K. Smith M.D.,Non Fiction,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,2013,6,2272,4.1
Charlaine Harris,Fiction,Sookie Stackhouse,2009,25,973,4.7
Zhi Gang Sha,Non Fiction,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritualâ€¦",2013,17,220,4.6
Walter Isaacson,Non Fiction,Steve Jobs,2011,20,7827,4.6
Walter Isaacson,Non Fiction,Steve Jobs,2012,20,7827,4.6
Nathan W. Pyle,Fiction,Strange Planet (Strange Planet Series),2019,6,9382,4.9
Gallup,Non Fiction,StrengthsFinder 2.0,2009,17,5069,4
Gallup,Non Fiction,StrengthsFinder 2.0,2010,17,5069,4
Gallup,Non Fiction,StrengthsFinder 2.0,2011,17,5069,4
Gallup,Non Fiction,StrengthsFinder 2.0,2012,17,5069,4
Gallup,Non Fiction,StrengthsFinder 2.0,2013,17,5069,4
Gallup,Non Fiction,StrengthsFinder 2.0,2014,17,5069,4
Gallup,Non Fiction,StrengthsFinder 2.0,2015,17,5069,4
Gallup,Non Fiction,StrengthsFinder 2.0,2016,17,5069,4
Gallup,Non Fiction,StrengthsFinder 2.0,2017,17,5069,4
Steven D. Levitt,Non Fiction,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",2009,18,1583,4.5
Chip Heath,Non Fiction,Switch: How to Change Things When Change Is Hard,2010,13,1907,4.6
John Grisham,Fiction,Sycamore Row (Jake Brigance),2013,18,23114,4.5
Doug Lemov,Non Fiction,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,2010,20,637,4.4
Doug Lemov,Non Fiction,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,2011,20,637,4.4
Mike Moreno,Non Fiction,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,2011,22,2314,4.3
Timothy Ferriss,Non Fiction,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",2011,21,4587,4.3
Gary Chapman,Non Fiction,The 5 Love Languages: The Secret to Love That Lasts,2010,28,3477,4.7
Gary Chapman,Non Fiction,The 5 Love Languages: The Secret to Love That Lasts,2011,28,3477,4.7
Gary Chapman,Non Fiction,The 5 Love Languages: The Secret to Love That Lasts,2012,28,3477,4.7
Gary Chapman,Non Fiction,The 5 Love Languages: The Secret to Love That Lasts,2013,28,3477,4.7
Gary Chapman,Non Fiction,The 5 Love Languages: The Secret to Love That Lasts,2014,28,3477,4.7
Gary Chapman,Non Fiction,The 5 Love Languages: The Secret to Love that Lasts,2015,8,25554,4.8
Gary Chapman,Non Fiction,The 5 Love Languages: The Secret to Love that Lasts,2016,8,25554,4.8
Gary Chapman,Non Fiction,The 5 Love Languages: The Secret to Love that Lasts,2017,8,25554,4.8
Gary Chapman,Non Fiction,The 5 Love Languages: The Secret to Love that Lasts,2018,8,25554,4.8
Gary Chapman,Non Fiction,The 5 Love Languages: The Secret to Love that Lasts,2019,8,25554,4.8
W. Cleon Skousen,Non Fiction,The 5000 Year Leap,2009,12,1680,4.8
Stephen R. Covey,Non Fiction,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2009,24,9325,4.6
Stephen R. Covey,Non Fiction,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2011,24,9325,4.6
Stephen R. Covey,Non Fiction,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2012,24,9325,4.6
Stephen R. Covey,Non Fiction,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2013,24,9325,4.6
Stephen R. Covey,Non Fiction,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2015,16,4725,4.7
Stephen R. Covey,Non Fiction,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2016,16,4725,4.7
Stephen R. Covey,Non Fiction,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2017,16,4725,4.7
Paulo Coelho,Fiction,The Alchemist,2014,39,35799,4.7
Edward Klein,Non Fiction,The Amateur,2012,9,2580,4.6
Garth Stein,Fiction,The Art of Racing in the Rain: A Novel,2010,10,11813,4.7
Garth Stein,Fiction,The Art of Racing in the Rain: A Novel,2011,10,11813,4.7
Michael Lewis,Non Fiction,The Big Short: Inside the Doomsday Machine,2010,17,3536,4.7
Rick Riordan,Fiction,The Blood of Olympus (The Heroes of Olympus (5)),2014,11,6600,4.8
Mark Hyman M.D.,Non Fiction,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",2012,14,1789,4.2
Bessel van der Kolk M.D.,Non Fiction,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",2019,12,12361,4.8
Bill Simmons,Non Fiction,The Book of Basketball: The NBA According to The Sports Guy,2009,53,858,4.7
Markus Zusak,Fiction,The Book Thief,2013,6,23148,4.6
Markus Zusak,Fiction,The Book Thief,2014,6,23148,4.6
B. J. Novak,Fiction,The Book with No Pictures,2014,8,8081,4.8
B. J. Novak,Fiction,The Book with No Pictures,2015,8,8081,4.8
Daniel James Brown,Non Fiction,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,2014,12,23358,4.8
Daniel James Brown,Non Fiction,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,2015,12,23358,4.8
J.K. Rowling,Fiction,The Casual Vacancy,2012,12,9372,3.3
Thomas Campbell,Non Fiction,The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Dietâ€¦,2011,21,4633,4.7
Amy Ramos,Non Fiction,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,2018,6,13061,4.3
Amy Ramos,Non Fiction,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,2019,6,13061,4.3
John Grisham,Fiction,The Confession: A Novel,2010,13,3523,4.3
Delegates of the ConstitutionalÂ…,Non Fiction,The Constitution of the United States,2016,0,2774,4.8
Jon Stewart,Non Fiction,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,2010,11,440,4.4
Drew Daywalt,Fiction,The Day the Crayons Quit,2013,9,8922,4.8
Drew Daywalt,Fiction,The Day the Crayons Quit,2014,9,8922,4.8
Drew Daywalt,Fiction,The Day the Crayons Quit,2015,9,8922,4.8
Pierre Dukan,Non Fiction,"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",2011,15,2023,4.1
Muriel Barbery,Fiction,The Elegance of the Hedgehog,2009,11,1859,4
John Green,Fiction,The Fault in Our Stars,2012,13,50482,4.7
John Green,Fiction,The Fault in Our Stars,2013,13,50482,4.7
John Green,Fiction,The Fault in Our Stars,2014,7,50482,4.7
John Green,Fiction,The Fault in Our Stars,2014,13,50482,4.7
Patrick Lencioni,Non Fiction,The Five Dysfunctions of a Team: A Leadership Fable,2009,6,3207,4.6
Patrick Lencioni,Non Fiction,The Five Dysfunctions of a Team: A Leadership Fable,2010,6,3207,4.6
Patrick Lencioni,Non Fiction,The Five Dysfunctions of a Team: A Leadership Fable,2011,6,3207,4.6
Patrick Lencioni,Non Fiction,The Five Dysfunctions of a Team: A Leadership Fable,2012,6,3207,4.6
Patrick Lencioni,Non Fiction,The Five Dysfunctions of a Team: A Leadership Fable,2013,6,3207,4.6
Gary Chapman,Non Fiction,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,2009,9,803,4.6
Don Miguel Ruiz,Non Fiction,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),2013,6,23308,4.7
Don Miguel Ruiz,Non Fiction,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),2015,6,23308,4.7
Don Miguel Ruiz,Non Fiction,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),2016,6,23308,4.7
Don Miguel Ruiz,Non Fiction,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),2017,6,23308,4.7
Don Miguel Ruiz,Non Fiction,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),2018,6,23308,4.7
Don Miguel Ruiz,Non Fiction,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),2019,6,23308,4.7
Jeff Kinney,Fiction,The Getaway,2017,0,5836,4.8
Paula Hawkins,Fiction,The Girl on the Train,2015,18,79446,4.1
Paula Hawkins,Fiction,The Girl on the Train,2016,7,79446,4.1
Stieg Larsson,Fiction,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),2010,14,7747,4.7
Stieg Larsson,Fiction,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),2011,14,7747,4.7
Stieg Larsson,Fiction,The Girl Who Played with Fire (Millennium Series),2010,9,7251,4.7
Stieg Larsson,Fiction,The Girl Who Played with Fire (Millennium),2009,16,7251,4.7
Stieg Larsson,Fiction,The Girl with the Dragon Tattoo (Millennium Series),2009,2,10559,4.4
Stieg Larsson,Fiction,The Girl with the Dragon Tattoo (Millennium Series),2010,2,10559,4.4
Sandra Boynton,Fiction,The Going-To-Bed Book,2016,5,5249,4.8
Sandra Boynton,Fiction,The Going-To-Bed Book,2017,5,5249,4.8
Donna Tartt,Fiction,The Goldfinch: A Novel (Pulitzer Prize for Fiction),2013,20,33844,3.9
Donna Tartt,Fiction,The Goldfinch: A Novel (Pulitzer Prize for Fiction),2014,20,33844,3.9
F. Scott Fitzgerald,Fiction,The Great Gatsby,2012,7,11616,4.4
F. Scott Fitzgerald,Fiction,The Great Gatsby,2013,7,11616,4.4
F. Scott Fitzgerald,Fiction,The Great Gatsby,2014,7,11616,4.4
John Grisham,Fiction,The Guardians: A Novel,2019,14,13609,4.5
Mary Ann Shaffer,Fiction,The Guernsey Literary and Potato Peel Pie Society,2009,10,8587,4.7
Margaret Atwood,Fiction,The Handmaid's Tale,2017,7,29442,4.3
Jonathan Cahn,Fiction,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,2012,13,11098,4.6
Angie Thomas,Fiction,The Hate U Give,2018,11,9947,4.8
Kathryn Stockett,Fiction,The Help,2009,6,13871,4.8
Kathryn Stockett,Fiction,The Help,2010,6,13871,4.8
Kathryn Stockett,Fiction,The Help,2011,8,13871,4.8
Kathryn Stockett,Fiction,The Help,2011,7,13871,4.8
Rick Riordan,Fiction,"The House of Hades (Heroes of Olympus, Book 4)",2013,14,6982,4.8
Suzanne Collins,Fiction,The Hunger Games,2010,14,32122,4.7
Suzanne Collins,Fiction,The Hunger Games (Book 1),2011,8,32122,4.7
Suzanne Collins,Fiction,The Hunger Games (Book 1),2012,8,32122,4.7
Suzanne Collins,Fiction,The Hunger Games Trilogy Boxed Set (1),2011,30,16949,4.8
Suzanne Collins,Fiction,The Hunger Games Trilogy Boxed Set (1),2012,30,16949,4.8
Rebecca Skloot,Non Fiction,The Immortal Life of Henrietta Lacks,2010,13,9289,4.7
Rebecca Skloot,Non Fiction,The Immortal Life of Henrietta Lacks,2011,9,9289,4.7
Rebecca Skloot,Non Fiction,The Immortal Life of Henrietta Lacks,2012,9,9289,4.7
Laurel Randolph,Non Fiction,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,2017,7,7368,4.3
Laurel Randolph,Non Fiction,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,2018,7,7368,4.3
Randy Pausch,Non Fiction,The Last Lecture,2009,9,4028,4.7
Rick Riordan,Fiction,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",2009,7,4628,4.8
Rick Riordan,Fiction,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",2010,7,4628,4.8
Patrick Thorpe,Fiction,The Legend of Zelda: Hyrule Historia,2013,20,5396,4.9
Daniel Lipkowitz,Non Fiction,The Lego Ideas Book: Unlock Your Imagination,2011,13,4247,4.4
Daniel Lipkowitz,Non Fiction,The Lego Ideas Book: Unlock Your Imagination,2012,13,4247,4.4
Marie KondÅ,Non Fiction,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,2015,11,22641,4.5
Marie KondÅ,Non Fiction,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,2016,11,22641,4.5
Marie KondÅ,Non Fiction,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,2017,11,22641,4.5
Marie KondÅ,Non Fiction,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,2019,11,22641,4.5
John Grisham,Fiction,The Litigators,2011,18,6222,4.4
Rick Riordan,Fiction,"The Lost Hero (Heroes of Olympus, Book 1)",2010,14,4506,4.8
Dan Brown,Fiction,The Lost Symbol,2009,19,8747,4.2
Stephen Kendrick,Non Fiction,The Love Dare,2009,13,1655,4.8
Chip Gaines,Non Fiction,The Magnolia Story,2016,5,7861,4.9
Rick Riordan,Fiction,"The Mark of Athena (Heroes of Olympus, Book 3)",2012,10,6247,4.8
Andy Weir,Fiction,The Martian,2015,9,39459,4.7
James Dashner,Fiction,The Maze Runner (Book 1),2014,8,10101,4.5
Jeff Kinney,Fiction,The Meltdown (Diary of a Wimpy Kid Book 13),2018,8,5898,4.8
The Washington Post,Non Fiction,The Mueller Report,2019,12,2744,4.6
Kristin Hannah,Fiction,The Nightingale: A Novel,2015,11,49288,4.8
Kristin Hannah,Fiction,The Nightingale: A Novel,2016,11,49288,4.8
The College Board,Non Fiction,The Official SAT Study Guide,2010,40,1201,4.4
The College Board,Non Fiction,The Official SAT Study Guide,2011,40,1201,4.4
The College Board,Non Fiction,The Official SAT Study Guide,2012,40,1201,4.4
The College Board,Non Fiction,The Official SAT Study Guide,2013,40,1201,4.4
The College Board,Non Fiction,The Official SAT Study Guide,2014,40,1201,4.4
The College Board,Non Fiction,"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",2016,36,807,4.3
Paula McLain,Fiction,The Paris Wife: A Novel,2011,16,3759,4.3
Ree Drummond,Non Fiction,"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",2013,17,2663,4.8
Ree Drummond,Non Fiction,"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solveâ€¦",2015,14,3428,4.8
Ree Drummond,Non Fiction,The Pioneer Woman Cooks: Food from My Frontier,2012,21,2876,4.8
Dr. Steven R Gundry MD,Non Fiction,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",2018,18,3601,4.5
Dr. Steven R Gundry MD,Non Fiction,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",2018,17,7058,4.4
Deborah Diesen,Fiction,The Pout-Pout Fish,2017,5,9784,4.8
Deborah Diesen,Fiction,The Pout-Pout Fish,2018,5,9784,4.8
Charles Duhigg,Non Fiction,The Power of Habit: Why We Do What We Do in Life and Business,2012,21,10795,4.6
James Patterson,Fiction,The President Is Missing: A Novel,2018,18,10191,4.3
John Grisham,Fiction,The Racketeer,2012,18,14493,4.3
Rick Riordan,Fiction,"The Red Pyramid (The Kane Chronicles, Book 1)",2010,12,2186,4.6
F. A. Hayek,Non Fiction,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",2010,14,1204,4.6
Rick Riordan,Fiction,"The Serpent's Shadow (The Kane Chronicles, Book 3)",2012,12,2091,4.8
William P. Young,Fiction,The Shack: Where Tragedy Confronts Eternity,2009,8,19720,4.6
William P. Young,Fiction,The Shack: Where Tragedy Confronts Eternity,2017,8,19720,4.6
Stephenie Meyer,Fiction,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),2010,0,2122,4.6
Alex Michaelides,Fiction,The Silent Patient,2019,14,27536,4.5
Rick Riordan,Fiction,"The Son of Neptune (Heroes of Olympus, Book 2)",2011,10,4290,4.8
Mark Manson,Non Fiction,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,2017,15,26490,4.6
Mark Manson,Non Fiction,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,2018,15,26490,4.6
Mark Manson,Non Fiction,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,2019,15,26490,4.6
Rupi Kaur,Non Fiction,The Sun and Her Flowers,2017,9,5487,4.7
Jeff Kinney,Fiction,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",2012,7,6377,4.7
Rick Riordan,Fiction,"The Throne of Fire (The Kane Chronicles, Book 2)",2011,10,1463,4.7
Audrey Niffenegger,Fiction,The Time Traveler's Wife,2009,6,3759,4.4
Malcolm Gladwell,Non Fiction,The Tipping Point: How Little Things Can Make a Big Difference,2009,9,3503,4.4
Dave Ramsey,Non Fiction,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,2019,10,11550,4.7
Stephenie Meyer,Fiction,The Twilight Saga Collection,2009,82,3801,4.7
Jeff Kinney,Fiction,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",2010,12,3796,4.8
Dinah Bucholz,Non Fiction,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes forâ€¦,2019,10,9030,4.7
Eric Carle,Fiction,The Very Hungry Caterpillar,2013,5,19546,4.9
Eric Carle,Fiction,The Very Hungry Caterpillar,2014,5,19546,4.9
Eric Carle,Fiction,The Very Hungry Caterpillar,2015,5,19546,4.9
Eric Carle,Fiction,The Very Hungry Caterpillar,2016,5,19546,4.9
Eric Carle,Fiction,The Very Hungry Caterpillar,2017,5,19546,4.9
Eric Carle,Fiction,The Very Hungry Caterpillar,2018,5,19546,4.9
Eric Carle,Fiction,The Very Hungry Caterpillar,2019,5,19546,4.9
Melissa Hartwig Urban,Non Fiction,The Whole30: The 30-Day Guide to Total Health and Food Freedom,2015,16,7508,4.6
Melissa Hartwig Urban,Non Fiction,The Whole30: The 30-Day Guide to Total Health and Food Freedom,2016,16,7508,4.6
Melissa Hartwig Urban,Non Fiction,The Whole30: The 30-Day Guide to Total Health and Food Freedom,2017,16,7508,4.6
Emily Winfield Martin,Fiction,The Wonderful Things You Will Be,2016,10,8842,4.9
Emily Winfield Martin,Fiction,The Wonderful Things You Will Be,2017,10,8842,4.9
Emily Winfield Martin,Fiction,The Wonderful Things You Will Be,2018,10,8842,4.9
Emily Winfield Martin,Fiction,The Wonderful Things You Will Be,2019,10,8842,4.9
Craig Smith,Fiction,The Wonky Donkey,2018,4,30183,4.8
Craig Smith,Fiction,The Wonky Donkey,2019,4,30183,4.8
David McCullough,Non Fiction,The Wright Brothers,2015,16,6169,4.7
Charles Krauthammer,Non Fiction,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",2013,15,7034,4.7
Daniel Kahneman,Non Fiction,"Thinking, Fast and Slow",2011,19,11034,4.6
Daniel Kahneman,Non Fiction,"Thinking, Fast and Slow",2012,19,11034,4.6
Jay Asher,Fiction,Thirteen Reasons Why,2017,9,7932,4.5
Jon Meacham,Non Fiction,Thomas Jefferson: The Art of Power,2012,23,1904,4.5
Greg Mortenson,Non Fiction,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,2009,11,3319,4.3
Greg Mortenson,Non Fiction,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,2010,11,3319,4.3
Thug Kitchen,Non Fiction,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),2014,23,11128,4.6
Thug Kitchen,Non Fiction,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),2015,23,11128,4.6
Thug Kitchen,Non Fiction,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),2016,23,11128,4.6
Thug Kitchen,Non Fiction,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),2017,23,11128,4.6
Tina Fey,Non Fiction,Tina Fey: Bossypants,2011,12,5977,4.3
Harper Lee,Fiction,To Kill a Mockingbird,2013,0,26234,4.8
Harper Lee,Fiction,To Kill a Mockingbird,2014,0,26234,4.8
Harper Lee,Fiction,To Kill a Mockingbird,2015,0,26234,4.8
Harper Lee,Fiction,To Kill a Mockingbird,2016,0,26234,4.8
Harper Lee,Fiction,To Kill a Mockingbird,2019,7,26234,4.8
Timothy Ferriss,Non Fiction,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",2017,21,4360,4.6
Robert Jordan,Fiction,"Towers of Midnight (Wheel of Time, Book Thirteen)",2010,21,2282,4.8
Edward M. Kennedy,Non Fiction,True Compass: A Memoir,2009,15,438,4.5
Stephenie Meyer,Fiction,"Twilight (The Twilight Saga, Book 1)",2009,9,11676,4.7
DK,Fiction,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,2014,5,2586,4.5
Laura Hillenbrand,Non Fiction,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2010,16,29673,4.8
Laura Hillenbrand,Non Fiction,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2011,16,29673,4.8
Laura Hillenbrand,Non Fiction,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2012,16,29673,4.8
Laura Hillenbrand,Non Fiction,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2014,13,29673,4.8
Laura Hillenbrand,Non Fiction,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2014,16,29673,4.8
Stephen King,Fiction,Under the Dome: A Novel,2009,20,6740,4.3
Mark R. Levin,Non Fiction,Unfreedom of the Press,2019,11,5956,4.9
Silly Bear,Non Fiction,Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),2019,4,6108,4.8
Lysa TerKeurst,Non Fiction,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",2016,9,4585,4.7
Alan Moore,Fiction,Watchmen,2009,42,3829,4.8
Sara Gruen,Fiction,Water for Elephants: A Novel,2011,12,8958,4.5
Hillary Rodham Clinton,Non Fiction,What Happened,2017,18,5492,4.6
Randall Munroe,Non Fiction,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,2014,17,9292,4.7
Dr. Seuss,Fiction,What Pet Should I Get? (Classic Seuss),2015,14,1873,4.7
Adir Levy,Fiction,What Should Danny Do? (The Power to Choose Series),2019,13,8170,4.8
Heidi Murkoff,Non Fiction,What to Expect When You're Expecting,2011,9,3341,4.4
William Davis,Non Fiction,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",2012,6,7497,4.4
William Davis,Non Fiction,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",2013,6,7497,4.4
Paul Kalanithi,Non Fiction,When Breath Becomes Air,2016,14,13779,4.8
Delia Owens,Fiction,Where the Crawdads Sing,2019,15,87841,4.8
Maurice Sendak,Fiction,Where the Wild Things Are,2009,13,9967,4.8
The Staff of The Late Show withÂ…,Non Fiction,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,2018,12,6669,4.6
Cheryl Strayed,Non Fiction,Wild: From Lost to Found on the Pacific Crest Trail,2012,18,17044,4.4
Ken Follett,Fiction,Winter of the World: Book Two of the Century Trilogy,2012,15,10760,4.5
Geneen Roth,Non Fiction,Women Food and God: An Unexpected Path to Almost Everything,2010,11,1302,4.2
R. J. Palacio,Fiction,Wonder,2013,9,21625,4.8
R. J. Palacio,Fiction,Wonder,2014,9,21625,4.8
R. J. Palacio,Fiction,Wonder,2015,9,21625,4.8
R. J. Palacio,Fiction,Wonder,2016,9,21625,4.8
R. J. Palacio,Fiction,Wonder,2017,9,21625,4.8
Jeff Kinney,Fiction,Wrecking Ball (Diary of a Wimpy Kid Book 14),2019,8,9413,4.9
Jen Sincero,Non Fiction,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,2016,8,14331,4.7
Jen Sincero,Non Fiction,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,2017,8,14331,4.7
Jen Sincero,Non Fiction,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,2018,8,14331,4.7
Jen Sincero,Non Fiction,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,2019,8,14331,4.7
